,species,range,rangeNat,rangeAnt,percNat,percForPlant,percPast,percSugCan,percSoy,lulcYear,range.cat,year,IUCN,rangesize,icmbio.cat
186,Amphisbaena steindachneri,283,205,78,0.7244,0,0.2155,0,0,2020,Restricted,1881,LC,1477,LC
187,Amphisbaena steindachneri,284,200,84,0.7042,0,0.2394,0,0,2005,Restricted,1881,LC,1477,LC
188,Amphisbaena steindachneri,284,209,75,0.7359,0,0.1972,0,0,2015,Restricted,1881,LC,1477,LC
189,Amphisbaena steindachneri,285,200,85,0.7018,0,0.2351,0,0,2010,Restricted,1881,LC,1477,LC
190,Amphisbaena steindachneri,284,210,74,0.7394,0,0.2007,0,0,2000,Restricted,1881,LC,1477,LC
191,Amphisbaena talisiae,91092,38538,52554,0.4231,0.0063,0.3182,0.0056,0.1213,2020,Partial,1995,LC,103006,LC
192,Amphisbaena talisiae,91092,39968,51124,0.4388,0.0016,0.3618,0.0011,0.0739,2005,Partial,1995,LC,103006,LC
193,Amphisbaena talisiae,91091,38806,52285,0.426,0.006,0.3378,0.0058,0.0903,2015,Partial,1995,LC,103006,LC
194,Amphisbaena talisiae,91092,39782,51310,0.4367,0.0029,0.3453,0.004,0.078,2010,Partial,1995,LC,103006,LC
195,Amphisbaena talisiae,91091,41840,49251,0.4593,0.002,0.3677,2.00E-04,0.0483,2000,Partial,1995,LC,103006,LC
196,Anolis meridionalis,1407849,644822,763027,0.458,0.0117,0.2956,0.0308,0.104,2015,Wide,1885,LC,2579006,LC
197,Anolis meridionalis,1407856,677435,730421,0.4812,0.0046,0.3225,0.0142,0.0823,2005,Wide,1885,LC,2579006,LC
198,Anolis meridionalis,1407833,639976,767857,0.4546,0.0135,0.28,0.0292,0.1185,2020,Wide,1885,LC,2579006,LC
199,Anolis meridionalis,1407856,663209,744647,0.4711,0.0071,0.3119,0.0234,0.0853,2010,Wide,1885,LC,2579006,LC
200,Anolis meridionalis,1407857,715321,692536,0.5081,0.0045,0.3233,0.0112,0.0607,2000,Wide,1885,LC,2579006,LC
201,Antilophia galeata,1720898,913848,807050,0.531,0.0065,0.2904,0.0117,0.0709,2005,Wide,1823,LC,2692714,LC
202,Antilophia galeata,1720898,958996,761902,0.5573,0.0062,0.2894,0.0093,0.0511,2000,Wide,1823,LC,2692714,LC
203,Antilophia galeata,1720875,858751,862124,0.499,0.0158,0.2552,0.0241,0.1066,2020,Wide,1823,LC,2692714,LC
204,Antilophia galeata,1720897,893766,827131,0.5194,0.0093,0.2819,0.0193,0.0746,2010,Wide,1823,LC,2692714,LC
205,Antilophia galeata,1720891,865306,855585,0.5028,0.0138,0.2705,0.0254,0.0928,2015,Wide,1823,LC,2692714,LC
206,Aplastodiscus lutzorum*,20268,11059,9209,0.5456,0,0.2041,0,0.1009,2005,Restricted,2017,-,20219,LC
207,Aplastodiscus lutzorum*,20268,10893,9375,0.5374,5.00E-04,0.1944,0,0.1116,2010,Restricted,2017,-,20219,LC
208,Aplastodiscus lutzorum*,20267,11365,8902,0.5608,0,0.2127,0,0.0711,2000,Restricted,2017,-,20219,LC
209,Aplastodiscus lutzorum*,20269,10643,9626,0.5251,0.003,0.1771,0,0.1568,2020,Restricted,2017,-,20219,LC
210,Aplastodiscus lutzorum*,20268,10704,9564,0.5281,0.0027,0.1944,0,0.1234,2015,Restricted,2017,-,20219,LC
211,Apostolepis adhara*,371,280,91,0.7547,0,0.2183,0,0,2005,Restricted,2018,-,371,DD
212,Apostolepis adhara*,370,301,69,0.8135,0,0.1622,0,0,2010,Restricted,2018,-,371,DD
213,Apostolepis adhara*,371,277,94,0.7466,0,0.2237,0,0,2000,Restricted,2018,-,371,DD
214,Apostolepis adhara*,371,309,62,0.8329,0,0.1402,0,0,2020,Restricted,2018,-,371,DD
215,Apostolepis adhara*,369,302,67,0.8184,0,0.1572,0,0,2015,Restricted,2018,-,371,DD
216,Apostolepis albicollaris,48549,18549,30000,0.3821,0.0074,0.296,0.0036,0.1429,2020,Restricted,2002,LC,52589,LC
217,Apostolepis albicollaris,48548,19182,29366,0.3951,0.0033,0.3548,7.00E-04,0.075,2010,Restricted,2002,LC,52589,LC
218,Apostolepis albicollaris,48549,20060,28489,0.4132,0.0018,0.3994,0,0.0475,2000,Restricted,2002,LC,52589,LC
219,Apostolepis albicollaris,48551,18661,29890,0.3844,0.0072,0.3276,0.003,0.0824,2015,Restricted,2002,LC,52589,LC
220,Apostolepis albicollaris,48550,19263,29287,0.3968,0.0013,0.3773,0,0.0817,2005,Restricted,2002,LC,52589,LC
221,Apostolepis assimilis*,896294,297808,598486,0.3323,0.0198,0.3898,0.037,0.0775,2010,Partial,1861,LC,1601004,LC
222,Apostolepis assimilis*,896293,313465,582828,0.3497,0.0133,0.4293,0.0178,0.062,2000,Partial,1861,LC,1601004,LC
223,Apostolepis assimilis*,896267,291905,604362,0.3257,0.0319,0.3417,0.0457,0.1084,2020,Partial,1861,LC,1601004,LC
224,Apostolepis assimilis*,896293,300645,595648,0.3354,0.0141,0.4137,0.0225,0.0814,2005,Partial,1861,LC,1601004,LC
225,Apostolepis assimilis*,896286,293423,602863,0.3274,0.0282,0.3628,0.0484,0.0895,2015,Partial,1861,LC,1601004,LC
