species,binomial,taxa,family,genus,species_author,author,year,time.slice,New,IUCN,rangesize,range.cat,areaClass,rangeNat_2020,percNat,percNatCat,prot_range,prot_perc,prot_perc_cat,rangeNat_2000,loss00_20,perc_loss00_20
Atractus edioi,Atractus edioi,Reptiles,Dipsadidae,Atractus,"Atractus edioi Silva Jr. et al., 2005","Silva Jr. et al., 2005",2005,2000-2021,n,DD,370,Restricted,buffer,267,0.7236,<80%,0,0,0%,267,0,0
Atractus pantostictus,Atractus pantostictus*,Reptiles,Dipsadidae,Atractus,"Atractus pantostictus* Fernandes and Puorto, 1993","Fernandes and Puorto, 1993",1993,1900-1999,s,LC,940260,Partial,polygon,316870,0.4434,<50%,19639,0.0209,<5%,348087,31217,0.089681603
Atractus spinalis,Atractus spinalis,Reptiles,Dipsadidae,Atractus,"Atractus spinalis Passos et al., 2013","Passos et al., 2013",2013,2000-2021,n,DD,763,Restricted,buffer,433,0.9021,>80%,249,0.3263,>17%,436,3,0.006880734
Atractus stygius,Atractus stygius*,Reptiles,Dipsadidae,Atractus,"Atractus stygius* Passos et al., 2019","Passos et al., 2019",2019,2000-2021,s,-,115675,Partial,polygon,31020,0.6602,<80%,5,0,0%,35503,4483,0.126271019
Augastes scutatus,Augastes scutatus,Birds,Trochilidae,Augastes,"Augastes scutatus (Temminck, 1824)","(Temminck, 1824)",1824,1700-1899,s,LC,53428,Restricted,polygon,20239,0.6077,<80%,3537,0.0662,<17%,21296,1057,0.049633734
Bachia bresslaui,Bachia bresslaui,Reptiles,Gymnophthalmidae,Bachia,"Bachia bresslaui (Amaral, 1935)","(Amaral, 1935)",1935,1900-1999,n,VU,535404,Partial,polygon,121436,0.2773,<30%,2949,0.0055,<1%,133468,12032,0.09014895
Bachia cacerensis,Bachia cacerensis,Reptiles,Gymnophthalmidae,Bachia,"Bachia cacerensis Castrillon & Strüssmann, 1998","Castrillon & Strüssmann, 1998",1998,1900-1999,n,DD,365,Restricted,buffer,333,0.9148,>80%,0,0,0%,346,13,0.037572254
Bachia didactyla,Bachia didactyla,Reptiles,Gymnophthalmidae,Bachia,"Bachia didactyla Freitas et al., 2011","Freitas et al., 2011",2011,2000-2021,n,EN,6466,Restricted,polygon,4382,0.722,<80%,0,0,0%,4931,549,0.111336443
Bachia geralista,Bachia geralista,Reptiles,Gymnophthalmidae,Bachia,"Bachia geralista Teixeira et al., 2012","Teixeira et al., 2012",2012,2000-2021,n,DD,26232,Restricted,polygon,22314,0.8543,>80%,2542,0.0969,<17%,25295,2981,0.117849377
Bachia micromela,Bachia micromela,Reptiles,Gymnophthalmidae,Bachia,"Bachia micromela Rodrigues et al., 2007","Rodrigues et al., 2007",2007,2000-2021,n,DD,376,Restricted,buffer,217,0.9731,>80%,0,0,0%,219,2,0.00913242
Bachia oxyrhina,Bachia oxyrhina,Reptiles,Gymnophthalmidae,Bachia,"Bachia oxyrhina Rodrigues et al., 2008","Rodrigues et al., 2008",2008,2000-2021,n,LC,309,Restricted,polygon,309,1,>80%,309,1,>17%,308,-1,-0.003246753
