species,binomial,taxa,family,genus,species_author,author,year,time.slice,New,IUCN,rangesize,range.cat,areaClass,rangeNat_2020,percNat,percNatCat,prot_range,prot_perc,prot_perc_cat,rangeNat_2000,loss00_20,perc_loss00_20
Rhinella sebbeni,Rhinella sebbeni*,Amphibians,Bufonidae,Rhinella,"Rhinella sebbeni* Vaz-Silva et al., 2015","Vaz-Silva et al., 2015",2015,2000-2021,s,NT,86363,Restricted,polygon,5229,0.3999,<50%,8,5.00E-04,<1%,5546,317,0.057158312
Rhinella veredas,Rhinella veredas,Amphibians,Bufonidae,Rhinella,"Rhinella veredas (Brandão et al., 2007)","(Brandão et al., 2007)",2007,2000-2021,n,LC,34446,Partial,polygon,62986,0.7586,<80%,3609,0.0418,<5%,70544,7558,0.107138807
Rhipidomys ipukensis,Rhipidomys ipukensis,Mammals,Cricetidae,Rhipidomys,"Rhipidomys ipukensis Rocha et al., 2011","Rocha et al., 2011",2011,2000-2021,s,DD,1976730,Restricted,polygon,13080,0.7659,<80%,4699,0.1364,<17%,14692,1612,0.109719575
Rhipidomys macrurus,Rhipidomys macrurus,Mammals,Cricetidae,Rhipidomys,"Rhipidomys macrurus (Gervais, 1855)","(Gervais, 1855)",1855,1700-1899,s,LC,4504410,Wide,polygon,604971,0.4508,<50%,40196,0.0203,<5%,664719,59748,0.089884598
Saltatricula atricollis,Saltatricula atricollis,Birds,Thraupidae,Saltatricula,"Saltatricula atricollis (Vieillot, 1817)","(Vieillot, 1817)",1817,1700-1899,s,LC,440647,Wide,polygon,984020,0.5212,<80%,77308,0.0172,<5%,1093686,109666,0.100271924
Salvator duseni,Salvator duseni,Reptiles,Teiidae,Salvator,"Salvator duseni (Lönnberg, 1910)","(Lönnberg, 1910)",1910,1900-1999,n,LC,725,Partial,polygon,155213,0.3829,<50%,11324,0.0257,<5%,170287,15074,0.088521144
Scinax cabralensis,Scinax cabralensis,Amphibians,Hylidae,Scinax,"Scinax cabralensis Drummond et al., 2007","Drummond et al., 2007",2007,2000-2021,n,EN,29866,Restricted,buffer,233,0.4291,<50%,45,0.0621,<17%,253,20,0.079051383
Scinax constrictus,Scinax constrictus,Amphibians,Hylidae,Scinax,"Scinax constrictus Lima et al., 2005","Lima et al., 2005",2005,2000-2021,n,LC,19813,Partial,polygon,380611,0.5425,<80%,16491,0.0154,<5%,427315,46704,0.109296421
Scinax curicica,Scinax curicica,Amphibians,Hylidae,Scinax,"Scinax curicica Pugliesse et al., 2004","Pugliesse et al., 2004",2004,2000-2021,n,LC,368,Restricted,polygon,14143,0.7162,<80%,1093,0.0552,<17%,14886,743,0.04991267
Scinax haddadorum,Scinax haddadorum*,Amphibians,Hylidae,Scinax,"Scinax haddadorum* Araújo-Vieira et al., 2016","Araújo-Vieira et al., 2016",2016,2000-2021,s,LC,25000,Restricted,polygon,203,0.3752,<50%,20,0.037,<5%,211,8,0.037914692
Scinax maracaya,Scinax maracaya,Amphibians,Hylidae,Scinax,"Scinax maracaya (Cardoso & Sazima, 1980)","(Cardoso & Sazima, 1980)",1980,1900-1999,n,LC,719,Restricted,polygon,1340,0.2485,<30%,278,0.0287,<5%,1287,-53,-0.041181041
Scinax rogerioi,Scinax rogerioi,Amphibians,Hylidae,Scinax,"Scinax rogerioi Pugliese et al., 2009","Pugliese et al., 2009",2009,2000-2021,n,LC,4627,Partial,polygon,54074,0.3721,<50%,484,0.0032,<1%,58511,4437,0.075831895
Scinax rossaferesae,Scinax rossaferesae*,Amphibians,Hylidae,Scinax,Scinax rossaferesae* Conte et al. 2016,Conte et al. 2016,2016,2000-2021,s,LC,816,Restricted,polygon,910,0.4062,<50%,174,0.0376,<5%,812,-98,-0.120689655
Scinax rupestris,Scinax rupestris*,Amphibians,Hylidae,Scinax,"Scinax rupestris* Araújo-Vieira et al., 2015","Araújo-Vieira et al., 2015",2015,2000-2021,s,VU,38789,Restricted,buffer,758,0.9289,>80%,199,0.2439,>17%,760,2,0.002631579
Scinax tigrinus,Scinax tigrinus,Amphibians,Hylidae,Scinax,"Scinax tigrinus Nunes et al., 2010","Nunes et al., 2010",2010,2000-2021,n,LC,89692,Restricted,polygon,17687,0.3991,<50%,603,0.0136,<5%,19768,2081,0.105271145
Scytalopus novacapitalis,Scytalopus novacapitalis,Birds,Rhinocryptidae,Scytalopus,"Scytalopus novacapitalis Sick, 1958","Sick, 1958",1958,1900-1999,s,EN,1494,Partial,polygon,30320,0.3409,<50%,1284,0.0143,<5%,32515,2195,0.067507304
Siagonodon acutirostris,Siagonodon acutirostris,Reptiles,Leptotyphlopidae,Siagonodon,"Siagonodon acutirostris Pinto & Curcio, 2011","Pinto & Curcio, 2011",2011,2000-2021,n,-,1421441,Restricted,buffer,1349,0.9023,>80%,831,0.5562,>17%,1392,43,0.030890805
Simophis rhinostoma,Simophis rhinostoma,Reptiles,Colubridae,Simophis,"Simophis rhinostoma (Schlegel, 1837)","(Schlegel, 1837)",1837,1700-1899,n,LC,107707,Partial,polygon,263452,0.3323,<50%,14475,0.0102,<5%,280686,17234,0.061399571
Sporophila nigrorufa,Sporophila nigrorufa,Birds,Thraupidae,Sporophila,"Sporophila nigrorufa (d'Orbigny & Lafresnaye, 1837)","(d'Orbigny & Lafresnaye, 1837)",1837,1700-1899,s,VU,138504,Partial,polygon,4627,0.4607,<50%,11182,0.1038,<17%,5558,931,0.167506297
Stenocercus albolineatus,Stenocercus albolineatus*,Reptiles,Tropiduridae,Stenocercus,"Stenocercus albolineatus* Teixeira et al., 2016","Teixeira et al., 2016",2015,2000-2021,s,-,690,Restricted,polygon,57771,0.8116,>80%,96,7.00E-04,<1%,62072,4301,0.069290501
Stenocercus canastra,Stenocercus canastra*,Reptiles,Tropiduridae,Stenocercus,"Stenocercus canastra* Avila-Pires et al., 2019","Avila-Pires et al., 2019",2019,2000-2021,s,-,48388,Restricted,buffer,465,0.6749,<80%,570,0.8261,>17%,446,-19,-0.042600897
Stenocercus quinarius,Stenocercus quinarius,Reptiles,Tropiduridae,Stenocercus,"Stenocercus quinarius Nogueira & Rodrigues, 2006","Nogueira & Rodrigues, 2006",2006,2000-2021,n,LC,93473,Restricted,polygon,35065,0.7248,<80%,3601,0.0744,<17%,42800,7735,0.180724299
Stenocercus sinesaccus,Stenocercus sinesaccus,Reptiles,Tropiduridae,Stenocercus,"Stenocercus sinesaccus Torres-Carvajal, 2005","Torres-Carvajal, 2005",2005,2000-2021,n,LC,2385983,Partial,polygon,42025,0.4497,<50%,110,0.0012,<1%,47443,5418,0.114200198
Synallaxis simoni,Synallaxis simoni,Birds,Furnariidae,Synallaxis,"Synallaxis simoni Hellmayr, 1907","Hellmayr, 1907",1907,1900-1999,s,LC,61720,Partial,polygon,43393,0.7277,<80%,8243,0.1336,<17%,46840,3447,0.073590948
Syndactyla dimidiata,Syndactyla dimidiata,Birds,Furnariidae,Syndactyla,"Syndactyla dimidiata (Pelzeln, 1859)","(Pelzeln, 1859)",1859,1700-1899,s,LC,1196783,Partial,polygon,318901,0.3672,<50%,15177,0.0127,<5%,347561,28660,0.082460345
Taoniscus nanus,Taoniscus nanus,Birds,Tinamidae,Taoniscus,"Taoniscus nanus (Temminck, 1815)","(Temminck, 1815)",1815,1700-1899,s,EN,1308726,Partial,polygon,297658,0.3502,<50%,15832,0.0121,<5%,325050,27392,0.084270112
Thalpomys cerradensis,Thalpomys cerradensis,Mammals,Cricetidae,Thalpomys,"Thalpomys cerradensis Hershkovitz, 1990","Hershkovitz, 1990",1990,1900-1999,s,LC,957821,Partial,polygon,448195,0.6188,<80%,33989,0.0355,<5%,508190,59995,0.118056239
Thalpomys lasiotis,Thalpomys lasiotis,Mammals,Cricetidae,Thalpomys,"Thalpomys lasiotis Thomas, 1916","Thomas, 1916",1916,1900-1999,s,LC,194904,Partial,polygon,73348,0.4034,<50%,4384,0.0225,<5%,79032,5684,0.071920235
Thamnodynastes rutilus,Thamnodynastes rutilus,Reptiles,Dipsadidae,Thamnodynastes,"Thamnodynastes rutilus (Prado, 1942)","(Prado, 1942)",1942,1900-1999,n,-,647749,Partial,polygon,179352,0.3311,<50%,6277,0.0097,<1%,192840,13488,0.069943995
Thoropa megatympanum,Thoropa megatympanum,Amphibians,Cycloramphidae,Thoropa,"Thoropa megatympanum Caramaschi & Sazima, 1984","Caramaschi & Sazima, 1984",1984,1900-1999,n,LC,35245,Restricted,polygon,15831,0.6943,<80%,2766,0.0785,<17%,16636,805,0.048389036
Thrichomys apereoides,Thrichomys apereoides,Mammals,Echimyidae,Thrichomys,"Thrichomys apereoides (Lund, 1839)","(Lund, 1839)",1839,1700-1899,s,LC,362360,Partial,polygon,142781,0.5519,<80%,10204,0.0282,<5%,153984,11203,0.072754312
Thrichomys pachyurus,Thrichomys pachyurus,Mammals,Echimyidae,Thrichomys,"Thrichomys pachyurus (Wagner, 1845)","(Wagner, 1845)",1845,1700-1899,s,LC,762797,Partial,polygon,302660,0.5325,<80%,13812,0.0181,<5%,337552,34892,0.103367777
Thylamys velutinus,Thylamys velutinus,Mammals,Didelphidae,Thylamys,"Thylamys velutinus (Wagner, 1842)","(Wagner, 1842)",1842,1700-1899,s,NT,472911,Partial,polygon,109906,0.2915,<30%,3827,0.0081,<1%,115290,5384,0.046699627
Trachycephalus mambaiensis,Trachycephalus mambaiensis,Amphibians,Hylidae,Trachycephalus,"Trachycephalus mambaiensis Cintra et al., 2009","Cintra et al., 2009",2009,2000-2021,n,LC,81510,Partial,polygon,54604,0.721,<80%,4752,0.0583,<17%,62267,7663,0.123066793
Trilepida brasiliensis,Trilepida brasiliensis,Reptiles,Leptotyphlopidae,Trilepida,"Trilepida brasiliensis (Laurent, 1949)","(Laurent, 1949)",1949,1900-1999,n,LC,1503963,Wide,polygon,628041,0.5484,<80%,40976,0.0272,<5%,702364,74323,0.105818351
Trilepida fuliginosa,Trilepida fuliginosa,Reptiles,Leptotyphlopidae,Trilepida,"Trilepida fuliginosa (Passos et al., 2006)","(Passos et al., 2006)",2006,2000-2021,n,LC,453998,Partial,polygon,225855,0.5795,<80%,12403,0.0273,<5%,250479,24624,0.098307643
Trilepida jani,Trilepida jani,Reptiles,Leptotyphlopidae,Trilepida,"Trilepida jani (Pinto & Fernandes, 2012)","(Pinto & Fernandes, 2012)",2012,2000-2021,n,LC,19461,Restricted,polygon,6945,0.6546,<80%,1192,0.0613,<17%,7243,298,0.041143173
Trilepida koppesi,Trilepida koppesi,Reptiles,Leptotyphlopidae,Trilepida,"Trilepida koppesi (Amaral, 1955)","(Amaral, 1955)",1955,1900-1999,n,LC,558325,Partial,polygon,103407,0.2514,<30%,2470,0.0044,<1%,111020,7613,0.06857323
Trinomys moojeni,Trinomys moojeni,Mammals,Echimyidae,Trinomys,"Trinomys moojeni (Pessôa et al., 1992)","(Pessôa et al., 1992)",1992,1900-1999,s,EN,1403,Restricted,polygon,765,0.742,<80%,332,0.2366,>17%,769,4,0.00520156
Tropidophis preciosus,Tropidophis preciosus,Reptiles,Tropidophiidae,Tropidophis,"Tropidophis preciosus Curcio et al., 2012","Curcio et al., 2012",2012,2000-2021,n,DD,719,Restricted,buffer,74,0.8043,>80%,0,0,0%,72,-2,-0.027777778
Tropidurus callathelys,Tropidurus callathelys,Reptiles,Tropiduridae,Tropidurus,"Tropidurus callathelys Harvey & Gutberlet, 1998","Harvey & Gutberlet, 1998",1998,1900-1999,n,LC,877,Restricted,OUT,486,0.7297,<80%,452,0.5154,>17%,508,22,0.043307087
Tropidurus chromatops,Tropidurus chromatops,Reptiles,Tropiduridae,Tropidurus,"Tropidurus chromatops Harvey & Gutberlet, 1998","Harvey & Gutberlet, 1998",1998,1900-1999,n,LC,1787,Restricted,OUT,466,0.6966,<80%,975,0.5456,>17%,512,46,0.08984375
Tropidurus itambere,Tropidurus itambere,Reptiles,Tropiduridae,Tropidurus,"Tropidurus itambere Rodrigues, 1987","Rodrigues, 1987",1987,1900-1999,n,LC,1456252,Partial,polygon,393699,0.3721,<50%,12951,0.0089,<1%,428334,34635,0.080859796
Tropidurus montanus,Tropidurus montanus,Reptiles,Tropiduridae,Tropidurus,"Tropidurus montanus Rodrigues, 1987","Rodrigues, 1987",1987,1900-1999,n,LC,84788,Partial,polygon,37352,0.5358,<80%,3047,0.0359,<5%,40355,3003,0.074414571
Tropidurus oreadicus,Tropidurus oreadicus,Reptiles,Tropiduridae,Tropidurus,"﻿Tropidurus oreadicus Rodrigues, 1987","Rodrigues, 1987",1987,1900-1999,n,LC,2773708,Partial,polygon,688003,0.5819,<80%,41466,0.0149,<5%,778567,90564,0.116321396
Tupinambis matipu,Tupinambis matipu*,Reptiles,Teiidae,Tupinambis,"Tupinambis matipu* Silva et al., 2018","Silva et al., 2018",2018,2000-2021,s,-,701967,Partial,polygon,190934,0.5672,<80%,2526,0.0036,<1%,216504,25570,0.118104054
Tupinambis quadrilineatus,Tupinambis quadrilineatus,Reptiles,Teiidae,Tupinambis,"Tupinambis quadrilineatus Manzani & Abe, 1997","Manzani & Abe, 1997",1997,1900-1999,n,LC,1572963,Partial,polygon,522409,0.593,<80%,34386,0.0219,<5%,591585,69176,0.116933323
Uropelia campestris,Uropelia campestris,Birds,Columbidae,Uropelia,"Uropelia campestris (Spix, 1825)","(Spix, 1825)",1825,1700-1899,s,LC,4642794,Wide,polygon,902911,0.541,<80%,71821,0.0155,<5%,1009121,106210,0.105250015
Vanzosaura savanicola,Vanzosaura savanicola*,Reptiles,Gymnophthalmidae,Vanzosaura,"Vanzosaura savanicola* Recoder et al., 2014","Recoder et al., 2014",2014,2000-2021,s,LC,112323,Partial,polygon,77420,0.7083,<80%,7700,0.0686,<17%,91932,14512,0.157855806
Xenodon matogrossensis,Xenodon matogrossensis,Reptiles,Dipsadidae,Xenodon,"Xenodon matogrossensis (Scrocchi & Cruz, 1993)","(Scrocchi & Cruz, 1993)",1993,1900-1999,n,LC,213601,Partial,polygon,33513,0.4467,<50%,976,0.0046,<1%,36464,2951,0.080929136
Xenodon nattereri,Xenodon nattereri,Reptiles,Dipsadidae,Xenodon,"Xenodon nattereri (Steindachner, 1867)","(Steindachner, 1867)",1867,1700-1899,n,LC,1984447,Wide,polygon,642984,0.4618,<50%,40165,0.0202,<5%,711120,68136,0.095815052
