species,rangesize,area,code,area_total_i-iv,protected_range,prot_perc
Amphisbaena crisae,"1479","5493","1","49667","328",0.2218
Adenomera cotuba*,"206241","5493","1","49667","3399",0.0165
Adenomera saci,"731210","5493","1","49667","29024",0.0397
Psilops seductus*,"737","5493","1","49667","314",0.4261
Ameerega berohoka,"110480","5493","1","49667","669",0.0061
Ameerega braccata,"600","5493","1","49667","133",0.2217
Ameerega flavopicta,"868222","5493","1","49667","17784",0.0205
Ameerega picta,"5921","5493","1","49667","397",0.0670
Alectrurus tricolor,"2797153","5493","1","49667","13289",0.0048
Alipiopsitta xanthops,"2950314","5493","1","49667","45681",0.0155
Allobates goianus,"16216","5493","1","49667","312",0.0192
Amphisbaena kraoh,"14095","5493","1","49667","1531",0.1086
Amphisbaena leeseri,"141174","5493","1","49667","956",0.0068
Amphisbaena silvestrii,"895546","5493","1","49667","7135",0.0080
Amphisbaena talisiae,"103006","5493","1","49667","1314",0.0128
Ameivula xacriaba*,"42875","5493","1","49667","4026",0.0939
Amphisbaena anaemariae,"346771","5493","1","49667","1381",0.0040
Amphisbaena cuiabana,"30163","5493","1","49667","201",0.0067
Apostolepis assimilis*,"1601004","5493","1","49667","11220",0.0070
Apostolepis barrioi*,"535264","5493","1","49667","398",0.0007
Apostolepis flavotorquata,"1256330","5493","1","49667","22554",0.0180
Apostolepis goiasensis,"470835","5493","1","49667","5350",0.0114
Anolis meridionalis,"2579006","5493","1","49667","40367",0.0157
Antilophia galeata,"2692714","5493","1","49667","47846",0.0178
Aplastodiscus lutzorum*,"20219","5493","1","49667","703",0.0348
Apostolepis albicollaris,"52589","5493","1","49667","651",0.0124
Arremon flavirostris,"1473172","5493","1","49667","14151",0.0096
Asthenes luizae,"24900","5493","1","49667","1240",0.0498
Atractus albuquerquei,"2711519","5493","1","49667","15583",0.0057
Atractus pantostictus*,"940260","5493","1","49667","19446",0.0207
Apostolepis longicaudata,"27040","5493","1","49667","2496",0.0923
Apostolepis nelsonjorgei,"73372","5493","1","49667","2821",0.0384
Apostolepis polylepis,"108297","5493","1","49667","13842",0.1278
Apostolepis sanctaeritae*,"673293","5493","1","49667","20406",0.0303
Apostolepis intermedia,"1425","5493","1","49667","330",0.2316
Juscelinomys candango,"366","5493","1","49667","83",0.2268
Ameiva jacuba,"1264","5493","1","49667","570",0.4509
Boana jaguariaivensis,"1041","5493","1","49667","2",0.0019
Boana ericae,"963","5493","1","49667","197",0.2046
Amphisbaena acrobeles,"374","5493","1","49667","140",0.3743
Siagonodon acutirostris,"1494","5493","1","49667","831",0.5562
Boana botumirim,"364","5493","1","49667","121",0.3324
Oreobates antrum*,"1286","5493","1","49667","24",0.0187
Akodon lindberghi,"2844","5493","1","49667","569",0.2001
Stenocercus canastra*,"690","5493","1","49667","570",0.8261
Crossodactylus franciscanus*,"714","5493","1","49667","91",0.1275
Dendropsophus tritaeniatus,"1460","5493","1","49667","75",0.0514
Placosoma cipoense,"359","5493","1","49667","169",0.4708
