"species","X","latitude","longitude","year","icmbio.cat"
"Alipiopsitta xanthops",322,-12.0255,-48.5394,1824,"LC"
"Alipiopsitta xanthops",323,-19.3535,-47.2934,1824,"LC"
"Alipiopsitta xanthops",324,-17.3455,-44.9424,1824,"LC"
"Alipiopsitta xanthops",325,-17.35,-44.9333,1824,"LC"
"Alipiopsitta xanthops",326,-15.8525,-48.9594,1824,"LC"
"Alipiopsitta xanthops",327,-10.4435,-49.1824,1824,"LC"
"Alipiopsitta xanthops",328,-15.4535,-47.6144,1824,"LC"
"Alipiopsitta xanthops",329,-15.9345,-52.3174,1824,"LC"
"Alipiopsitta xanthops",330,-17.8155,-50.1644,1824,"LC"
"Alipiopsitta xanthops",331,-20.1167,-47.9667,1824,"LC"
"Alipiopsitta xanthops",332,-10.7085,-48.4174,1824,"LC"
"Alipiopsitta xanthops",333,-15.65,-56.2,1824,"LC"
"Alipiopsitta xanthops",334,-21.7635,-52.1165,1824,"LC"
"Alipiopsitta xanthops",335,-18.4185,-46.4184,1824,"LC"
"Alipiopsitta xanthops",336,-21.8765,-51.8445,1824,"LC"
"Alipiopsitta xanthops",337,-15.9333,-47.8833,1824,"LC"
"Alipiopsitta xanthops",338,-18.95,-48.2,1824,"LC"
"Alipiopsitta xanthops",339,-16.2305,-45.9924,1824,"LC"
"Alipiopsitta xanthops",340,-20.4435,-53.7595,1824,"LC"
"Alipiopsitta xanthops",341,-12.9425,-51.8244,1824,"LC"
"Alipiopsitta xanthops",342,-20.0815,-47.4214,1824,"LC"
"Alipiopsitta xanthops",343,-15.9167,-52.25,1824,"LC"
"Alipiopsitta xanthops",344,-11.4005,-46.8834,1824,"LC"
"Alipiopsitta xanthops",345,-13.5,-51.3833,1824,"LC"
"Alipiopsitta xanthops",346,-19.4495,-54.9875,1824,"LC"
"Alipiopsitta xanthops",347,-12.0833,-46.7667,1824,"LC"
"Alipiopsitta xanthops",348,-19.1945,-46.2474,1824,"LC"
"Alipiopsitta xanthops",349,-11.35,-43.8667,1824,"LC"
"Alipiopsitta xanthops",350,-17.7985,-50.9284,1824,"LC"
"Alipiopsitta xanthops",351,-18.9185,-54.8445,1824,"LC"
"Alipiopsitta xanthops",352,-20.1795,-51.0024,1824,"LC"
"Alipiopsitta xanthops",353,-19.8655,-47.4404,1824,"LC"
"Alipiopsitta xanthops",354,-15.65,-53.9,1824,"LC"
"Alipiopsitta xanthops",355,-20.0895,-50.9544,1824,"LC"
"Alipiopsitta xanthops",356,-20.2115,-50.9264,1824,"LC"
"Alipiopsitta xanthops",357,-17.8145,-50.5974,1824,"LC"
"Alipiopsitta xanthops",358,-19.3095,-47.5254,1824,"LC"
"Alipiopsitta xanthops",359,-10.4705,-50.5034,1824,"LC"
"Alipiopsitta xanthops",360,-9.8333,-45.35,1824,"LC"
"Alipiopsitta xanthops",361,-15.8665,-56.0775,1824,"LC"
"Alipiopsitta xanthops",362,-15.85,-47.9333,1824,"LC"
"Alipiopsitta xanthops",363,-12.3635,-44.9734,1824,"LC"
"Alipiopsitta xanthops",364,-13.3985,-46.3184,1824,"LC"
"Alipiopsitta xanthops",365,-11.6175,-50.6694,1824,"LC"
"Alipiopsitta xanthops",366,-11.7,-50.7,1824,"LC"
"Alipiopsitta xanthops",367,-19.3955,-54.5665,1824,"LC"
"Alipiopsitta xanthops",368,-18.3385,-45.8334,1824,"LC"
"Alipiopsitta xanthops",369,-20.6415,-46.5064,1824,"LC"
"Alipiopsitta xanthops",370,-14.7,-47.5333,1824,"LC"
"Alipiopsitta xanthops",371,-21.2685,-51.6665,1824,"LC"
"Alipiopsitta xanthops",372,-11.0333,-45.5333,1824,"LC"
