"species","X","latitude","longitude","prot_perc_cat"
"Apostolepis assimilis*",1051,-23.1833,-46.8833,"<1%"
"Apostolepis assimilis*",1052,-23.9333,-47.0667,"<1%"
"Apostolepis assimilis*",1053,-21.9333,-45.3167,"<1%"
"Apostolepis assimilis*",1054,-21.9667,-45.35,"<1%"
"Apostolepis assimilis*",1055,-23.3167,-51.1667,"<1%"
"Apostolepis assimilis*",1056,-23.3103,-51.1628,"<1%"
"Apostolepis assimilis*",1057,-23.3,-51.15,"<1%"
"Apostolepis assimilis*",1058,-21.6833,-45.9167,"<1%"
"Apostolepis assimilis*",1059,-23.55,-47.1833,"<1%"
"Apostolepis assimilis*",1060,-23.5458,-47.1833,"<1%"
"Apostolepis assimilis*",1061,-22.3083,-45.375,"<1%"
"Apostolepis assimilis*",1062,-22.3,-45.3833,"<1%"
"Apostolepis assimilis*",1063,-18.2833,-52.9667,"<1%"
"Apostolepis assimilis*",1064,-18.25,-52.8833,"<1%"
"Apostolepis assimilis*",1065,-17.5667,-52.55,"<1%"
"Apostolepis assimilis*",1066,-17.5694,-52.5511,"<1%"
"Apostolepis assimilis*",1067,-17.569,-52.551,"<1%"
"Apostolepis assimilis*",1068,-20.3331,-44.0528,"<1%"
"Apostolepis assimilis*",1069,-20.3333,-44.05,"<1%"
"Apostolepis assimilis*",1070,-22.9542,-45.8375,"<1%"
"Apostolepis assimilis*",1071,-22.6167,-46.3667,"<1%"
"Apostolepis assimilis*",1072,-21.3667,-46.5167,"<1%"
"Apostolepis assimilis*",1073,-22.2333,-53.3333,"<1%"
"Apostolepis assimilis*",1074,-22.25,-53.35,"<1%"
"Apostolepis assimilis*",1075,-19.9856,-43.08,"<1%"
"Apostolepis assimilis*",1076,-19.9833,-43.85,"<1%"
"Apostolepis assimilis*",1077,-23.5583,-46.7917,"<1%"
"Apostolepis assimilis*",1078,-23.5333,-46.7667,"<1%"
"Apostolepis assimilis*",1079,-23.5333,-46.7833,"<1%"
"Apostolepis assimilis*",1080,-23.5325,-46.7917,"<1%"
"Apostolepis assimilis*",1081,-23.5167,-46.7833,"<1%"
"Apostolepis assimilis*",1082,-22.2667,-46.3667,"<1%"
"Apostolepis assimilis*",1083,-22.2833,-46.3667,"<1%"
"Apostolepis assimilis*",1084,-20.3833,-43.55,"<1%"
"Apostolepis assimilis*",1085,-17.2167,-46.8667,"<1%"
"Apostolepis assimilis*",1086,-19.6772,-51.1908,"<1%"
