species,rangesize,code,area_total,protected_range,prot_perc
Eurolophosaurus nanuzae,"21992","1","77538","483",0.0220
Pithecopus araguaius*,"1108","1","77538","98",0.0884
Microakodontomys transitorius,"733","1","77538","318",0.4338
Apostolepis christineae,"367","1","77538","134",0.3651
Odontophrynus monachus,"358","1","77538","186",0.5196
Cerradomys akroai,"748","1","77538","275",0.3676
Ameivula jalapensis,"745","1","77538","98",0.1315
Ameivula mumbuca,"747","1","77538","130",0.1740
Amphisbaena neglecta,"367","1","77538","5",0.0136
Apostolepis lineata,"367","1","77538","0",0.0000
Scinax pombali,"891","1","77538","564",0.6330
Columbina cyanopis,"2172","1","77538","264",0.1215
Amphisbaena steindachneri,"1477","1","77538","153",0.1036
Amphisbaena crisae,"1479","1","77538","328",0.2218
Adenomera cotuba*,"206241","1","77538","3399",0.0165
Adenomera saci,"731210","1","77538","29189",0.0399
Psilops seductus*,"737","1","77538","314",0.4261
Ameerega berohoka,"110480","1","77538","669",0.0061
Ameerega braccata,"600","1","77538","133",0.2217
Ameerega flavopicta,"868222","1","77538","18023",0.0208
Ameerega picta,"5921","1","77538","397",0.0670
Alectrurus tricolor,"2797153","1","77538","31263",0.0112
Alipiopsitta xanthops,"2950314","1","77538","69436",0.0235
Allobates goianus,"16216","1","77538","312",0.0192
Amphisbaena kraoh,"14095","1","77538","1531",0.1086
Amphisbaena leeseri,"141174","1","77538","990",0.0070
Amphisbaena silvestrii,"895546","1","77538","9471",0.0106
Amphisbaena talisiae,"103006","1","77538","1314",0.0128
Ameivula xacriaba*,"42875","1","77538","4082",0.0952
Amphisbaena anaemariae,"346771","1","77538","1397",0.0040
Amphisbaena cuiabana,"30163","1","77538","201",0.0067
Apostolepis assimilis*,"1601004","1","77538","12789",0.0080
Apostolepis barrioi*,"535264","1","77538","405",0.0008
Apostolepis flavotorquata,"1256330","1","77538","23339",0.0186
Apostolepis goiasensis,"470835","1","77538","5366",0.0114
Anolis meridionalis,"2579006","1","77538","58501",0.0227
Antilophia galeata,"2692714","1","77538","58635",0.0218
