"species","rangeAnt","percNatCat","X","latitude","longitude"
"Bothrops itapetiningae",314614,"<30%",2654,-22.599,-48.8
"Bothrops itapetiningae",314614,"<30%",2655,-22.565,-47.402
"Bothrops itapetiningae",314614,"<30%",2656,-23.003,-49.322
"Bothrops itapetiningae",314614,"<30%",2657,-21.603,-48.366
"Bothrops itapetiningae",314614,"<30%",2658,-21.134,-51.102
"Bothrops itapetiningae",314614,"<30%",2659,-22.372,-46.942
"Bothrops itapetiningae",314614,"<30%",2660,-21.508,-48.151
"Bothrops itapetiningae",314614,"<30%",2661,-20.72,-47.887
"Bothrops itapetiningae",314614,"<30%",2662,-22.413,-50.576
"Bothrops itapetiningae",314614,"<30%",2663,-22.229,-50.893
"Bothrops itapetiningae",314614,"<30%",2664,-21.587,-48.071
"Bothrops itapetiningae",314614,"<30%",2665,-22.411,-47.561
"Bothrops itapetiningae",314614,"<30%",2666,-24.113,-49.464
"Bothrops itapetiningae",314614,"<30%",2667,-19.865,-47.44
"Bothrops itapetiningae",314614,"<30%",2668,-21.473,-47.363
"Bothrops itapetiningae",314614,"<30%",2669,-22.018,-47.891
"Bothrops itapetiningae",314614,"<30%",2670,-21.596,-46.889
"Bothrops itapetiningae",314614,"<30%",2671,-20.917,-46.991
"Bothrops itapetiningae",314614,"<30%",2672,-19.748,-47.932
"Bothrops itapetiningae",314614,"<30%",2673,-18.919,-48.277
"Bothrops itapetiningae",314614,"<30%",2519,-21.9333,-47.3667
"Bothrops itapetiningae",314614,"<30%",2516,-21.8917,-47.0333
"Bothrops itapetiningae",314614,"<30%",2517,-21.7667,-47.0833
"Bothrops itapetiningae",314614,"<30%",2518,-23.0333,-49.15
"Bothrops itapetiningae",314614,"<30%",2504,-15.9589,-47.8927
"Bothrops itapetiningae",314614,"<30%",2506,-15.9943,-47.9771
"Bothrops itapetiningae",314614,"<30%",2502,-15.7099,-48.0224
"Bothrops itapetiningae",314614,"<30%",2503,-15.623,-48.0371
"Bothrops itapetiningae",314614,"<30%",2505,-15.8733,-47.8582
"Crossodactylus franciscanus*",519,"<30%",4768,-20.7167,-46.6167
"Crossodactylus franciscanus*",519,"<30%",4769,-20.2167,-46.3667
"Dendropsophus cerradensis",557,"<30%",5913,-20.5958,-53.5435
"Dendropsophus cerradensis",557,"<30%",5914,-20.4333,-53.75
"Dendropsophus elianeae",515929,"<30%",5990,-22.7226,-47.2883
"Dendropsophus elianeae",515929,"<30%",5991,-19.7552,-55.8629
"Dendropsophus elianeae",515929,"<30%",5992,-23.5389,-47.6638
"Dendropsophus elianeae",515929,"<30%",5993,-22.3666,-47.4666
"Dendropsophus elianeae",515929,"<30%",5994,-22.3333,-49.15
"Dendropsophus elianeae",515929,"<30%",5995,-21.9366,-56.5365
"Dendropsophus elianeae",515929,"<30%",5996,-22.1,-56.5167
"Dendropsophus elianeae",515929,"<30%",5997,-20.6724,-56.7994
"Dendropsophus elianeae",515929,"<30%",5998,-20.789,-56.755
"Dendropsophus elianeae",515929,"<30%",6003,-22.88,-48.4397
"Dendropsophus elianeae",515929,"<30%",6004,-22.2842,-48.1267
"Dendropsophus elianeae",515929,"<30%",6005,-23.7512,-48.5749
"Dendropsophus elianeae",515929,"<30%",6006,-16.076,-47.1239
"Dendropsophus elianeae",515929,"<30%",6007,-19.8678,-43.6372
"Dendropsophus elianeae",515929,"<30%",6008,-22.8833,-47.0437
"Dendropsophus elianeae",515929,"<30%",6009,-15.9298,-48.679
"Dendropsophus elianeae",515929,"<30%",6010,-22.22,-47.6258
"Dendropsophus elianeae",515929,"<30%",6011,-20.35,-49.21
"Dendropsophus elianeae",515929,"<30%",6016,-19.9476,-50.2632
"Dendropsophus elianeae",515929,"<30%",6017,-16.4155,-51.1802
"Dendropsophus elianeae",515929,"<30%",6018,-23.9136,-48.8712
"Dendropsophus elianeae",515929,"<30%",6019,-22.2935,-47.8336
"Dendropsophus elianeae",515929,"<30%",6020,-21.2901,-44.8242
"Dendropsophus elianeae",515929,"<30%",6021,-17.9093,-51.7315
"Dendropsophus elianeae",515929,"<30%",6022,-21.5518,-47.7816
"Dendropsophus elianeae",515929,"<30%",6023,-20.74,-49.937
"Dendropsophus elianeae",515929,"<30%",6024,-13.4983,-48.3484
"Dendropsophus elianeae",515929,"<30%",6012,-20.3685,-49.1928
"Dendropsophus elianeae",515929,"<30%",6013,-20.3671,-49.1853
"Dendropsophus elianeae",515929,"<30%",6014,-20.3417,-49.195
"Dendropsophus elianeae",515929,"<30%",6015,-20.3662,-49.1853
"Dendropsophus elianeae",515929,"<30%",5989,-19.3297,-52.7144
"Dendropsophus elianeae",515929,"<30%",6030,-22.7602,-47.15
"Dendropsophus elianeae",515929,"<30%",6031,-20.2065,-47.4384
"Dendropsophus elianeae",515929,"<30%",6032,-21.0764,-45.0659
"Dendropsophus elianeae",515929,"<30%",6033,-22.879,-45.4587
"Dendropsophus elianeae",515929,"<30%",6034,-22.7255,-47.7824
"Dendropsophus elianeae",515929,"<30%",6035,-21.9951,-47.3895
"Dendropsophus elianeae",515929,"<30%",6036,-13.2923,-49.2307
"Dendropsophus elianeae",515929,"<30%",6037,-22.3728,-47.5791
"Dendropsophus elianeae",515929,"<30%",6038,-17.739,-51.0378
"Dendropsophus elianeae",515929,"<30%",5999,-20.7914,-56.7566
"Dendropsophus elianeae",515929,"<30%",6000,-21.1244,-56.7435
"Dendropsophus elianeae",515929,"<30%",6001,-21.0073,-56.4597
"Dendropsophus elianeae",515929,"<30%",6002,-22.8622,-48.4679
