NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,REP_AREA,GIS_AREA,STATUS,STATUS_YR,SUB_LOC,PARENT_ISO,ISO3
Reserva Particular Do Patrimônio Natural Reserva Ecológica Vale Do Bugio,Reserva Particular Do Patrimônio Natural Reserva Ecológica Vale Do Bugio,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.966933,0.971935007,Designated,2003,BR-MS,BRA,BRA
Rppn Toca Da Paca,Rppn Toca Da Paca,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,1.87354,1.882801855,Designated,2008,BR-SP,BRA,BRA
Parque Estadual Do Araguaiaa,Parque Estadual Do Araguaiaa,Parque,Park,National,II,2299.18,2313.285263,Designated,2001,BR-MT,BRA,BRA
Monumento Natural Estadual De Santo Antônio,Monumento Natural Estadual De Santo Antônio,Monumento Natural,Natural Monument,National,III,0.311424,0.313056331,Designated,2010,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Fazenda Loanda,Reserva Particular Do Patrimônio Natural Fazenda Loanda,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,5.14649,5.17761037,Designated,2011,BR-MT,BRA,BRA
Monumento Natural Estadual Lapa Vermelha,Monumento Natural Estadual Lapa Vermelha,Monumento Natural,Natural Monument,National,III,0.333434,0.335175665,Designated,2010,BR-MG,BRA,BRA
Monumento Natural Morro De Santo Antônio,Monumento Natural Morro De Santo Antônio,Monumento Natural,Natural Monument,National,III,2.58234,2.597185558,Designated,2006,BR-MT,BRA,BRA
Rppn Floresta Das Aguas Perenes,Rppn Floresta Das Aguas Perenes,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,7.95472,7.993029409,Designated,2011,BR-SP,BRA,BRA
Parque Estadual De Sagarana,Parque Estadual De Sagarana,Parque,Park,National,II,23.4192,23.55253048,Designated,2003,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Buraco Das Araras,Reserva Particular Do Patrimônio Natural Buraco Das Araras,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.29055,0.291985234,Designated,2007,BR-MS,BRA,BRA
Reserva Particular Do Patrimônio Natural Reserva Fazenda Bonito De Cima Vii,Reserva Particular Do Patrimônio Natural Reserva Fazenda Bonito De Cima Vii,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,1.36059,1.367918438,Designated,2004,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Catedral Do Jalapão,Reserva Particular Do Patrimônio Natural Catedral Do Jalapão,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,3.2558,3.276392245,Designated,2010,BR-TO,BRA,BRA
Reserva Particular Do Patrimônio Natural Fazenda Lageado,Reserva Particular Do Patrimônio Natural Fazenda Lageado,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,125.519,126.1626527,Designated,1990,BR-MS,BRA,BRA
Reserva Particular Do Patrimônio Natural Aurora Natura,Reserva Particular Do Patrimônio Natural Aurora Natura,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.151024,0.151944478,Designated,2012,BR-TO,BRA,BRA
Reserva Particular Do Patrimônio Natural Reserva Fazenda Bonito De Cima Ii,Reserva Particular Do Patrimônio Natural Reserva Fazenda Bonito De Cima Ii,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.0700136,0.070390424,Designated,2007,BR-MG,BRA,BRA
Refúgio De Vida Silvestre Estadual Macaúbas,Refúgio De Vida Silvestre Estadual Macaúbas,Refugio de Vida Silvestre,Wildlife Refuge,National,III,22.8368,22.95599108,Designated,2013,BR-MG,BRA,BRA
Refúgio De Vida Silvestre Estadual Serra Das Aroeiras,Refúgio De Vida Silvestre Estadual Serra Das Aroeiras,Refugio de Vida Silvestre,Wildlife Refuge,National,III,10.3597,10.413714,Designated,2013,BR-MG,BRA,BRA
