binomial,range,rangeNat,rangeAnt,percNat,percForPlant,percPast,percSugCan,percSoy,lulcYear
Phyllomys centralis,1332,610,722,0.458,0.0623,0.1239,0,0.003,2010
Phyllomys centralis,1334,602,732,0.4513,0.0667,0.1087,0,0.0022,2015
Phyllomys centralis,1333,592,741,0.4441,0.0683,0.093,0,0.003,2020
Phylloscartes roquettei,179538,114474,65064,0.6376,0.0275,0.2208,0,0.0217,2000
Phylloscartes roquettei,179541,112527,67014,0.6267,0.0286,0.224,0,0.0278,2005
Phylloscartes roquettei,179541,109952,69589,0.6124,0.0369,0.2228,0,0.0297,2010
Phylloscartes roquettei,179542,106127,73415,0.5911,0.0442,0.2336,8.00E-04,0.0375,2015
Phylloscartes roquettei,179541,106492,73049,0.5931,0.0476,0.2153,0.0012,0.0449,2020
Physalaemus atim*,585,131,454,0.2239,0.0068,0.5248,0,0.0137,2000
Physalaemus atim*,583,127,456,0.2178,0.0017,0.4991,0,0.0292,2005
Physalaemus atim*,584,131,453,0.2243,0.0068,0.4846,0.0034,0.0171,2010
Physalaemus atim*,581,133,448,0.2289,0.0155,0.4131,0,0.0482,2015
