Bokermannohyla ravida,31,111,1,1,13,127,,29,,4,0,,,0,37,,4,4,0,0,
Bokermannohyla sagarana,0,8,1,3,22,0,,3,,,0,9,,,,,,,,,
Bokermannohyla sapiranga,3495,4896,403,308,2655,7882,26,3426,,845,139,2,14,557,7440,,546,38,4,0,4
Bokermannohyla saxicola,3128,11208,2266,97,1548,2205,,1225,,35,49,1275,1,125,7,,8,16,2,0,
Bokermannohyla sazimai,1179,478,96,80,698,2296,158,1748,,41,8,40,45,24,1777,,323,228,23,1,
Bothrops itapetiningae,42677,29768,17318,9640,10815,131742,37617,57272,,4575,730,296,127,5816,51493,,7995,2537,2895,306,7
Bothrops marmoratus,34336,109002,5672,2732,21998,103487,874,30433,,2500,1141,92,181,4073,32528,1,4572,1461,220,33,89
Bothrops moojeni,187866,442058,27192,58545,94013,433471,41478,121006,3,6995,4038,1441,411,13574,185269,1046,25456,3480,3010,540,1918
Bothrops pauloensis,140157,175747,22741,27343,34481,355017,41383,100089,,6528,2269,418,411,10545,133179,,20164,3330,2993,308,346
Calassomys apicalis,137,202,0,8,33,4,,5,,,0,195,,0,,,,0,,,
Callithrix penicillata,71845,238583,14223,10428,50311,217255,16636,74190,19,4458,2035,2226,288,7507,77635,,12524,3253,897,313,1507
Calomys tocantinsi,12348,14610,27,28899,848,8617,,1201,,21,77,,0,1329,1027,592,242,,,,
Carterodon sulcidens,122073,173495,17497,22193,29445,288217,18598,72857,,4232,2125,272,371,7456,116621,,18413,2109,882,83,338
Celeus obrieni,81796,249540,1496,39529,46028,132654,748,20609,3,1060,1726,274,116,4956,42424,1046,4954,20,0,6,668
Cercomacra ferdinandi,18273,34995,405,25599,2793,21023,35,2077,,107,224,8,0,2114,2250,1046,886,,,,
Cerradomys akroai,76,513,,9,95,35,,15,,1,1,,0,0,3,,1,,,,
Cerradomys marinhus,23946,65538,1943,3277,23467,65295,3889,24997,,2438,760,255,132,1951,39307,,6602,353,82,89,841
Cerradomys scotti,177752,324999,21951,55655,78022,414702,37557,108634,3,6249,2904,1225,414,11747,161574,969,23711,3041,1971,344,1720
Charitospiza eucosma,227017,551953,27847,57840,106192,449768,40397,124624,168,7286,4806,2320,425,14055,184977,1046,26348,3474,2519,470,1918
Chiasmocleis albopunctata,167312,356977,26029,56786,78474,411155,40932,114511,3,7105,3014,2268,405,13227,149731,1046,22439,3479,2926,455,1718
Chiasmocleis centralis,47,72,,21,7,211,,4,,,2,,,2,0,,3,,,,
Chironius brazili*,53517,75377,18715,8080,23011,129933,36313,73211,,5591,1292,1903,197,7464,49513,,8884,3377,3016,335,7
Cinclodes espinhacensis,627,287,26,16,137,317,,338,,11,1,374,2,1,0,,0,4,,0,
Clibanornis rectirostris,117509,204028,27210,21311,44233,349196,41067,107379,,6726,2215,2176,400,10209,105067,,16301,3404,2926,380,748
Clyomys laticeps,113174,158644,23163,27493,30623,343019,41199,102394,,6214,2076,433,298,10169,106098,,16447,3340,2997,312,149
Coleodactylus brachystoma,46133,136687,1131,14852,26241,144240,1439,20620,3,639,1096,348,113,2946,38434,0,4506,10,,4,638
Colobosaura modesta,176147,510118,19537,53883,92302,383180,27728,98388,168,5616,4294,874,355,11373,153890,1046,22242,2408,1168,354,1643
Columbina cyanopis,222,492,9,9,47,247,3,60,,367,13,,1,63,20,,7,1,0,,
Conothraupis mesoleuca,20680,31744,793,1433,8011,27492,742,5125,,447,368,43,88,625,23987,,2932,,,,329
Coryphaspiza melanotis,177814,507011,29385,56693,94293,417457,40916,123082,168,7200,4341,2324,307,13842,148085,1046,22234,3541,3013,534,1642
Crossodactylus franciscanus*,44,43,2,8,33,262,9,128,,24,1,5,,5,66,,11,16,0,0,
Crossodactylus trachystomus,2981,7379,1291,105,1436,3024,,2067,,182,37,1299,9,44,26,,21,12,2,0,
Ctenomys bicolor,29680,17062,139,97,2855,4098,104,510,,147,224,,0,145,25475,,3209,,,,161
Ctenomys nattereri,10698,14299,249,468,7534,12696,42,258,,70,142,,20,119,5122,,892,,,,41
Cyanocorax cristatellus,242491,556282,31425,59101,107857,462281,41602,130374,168,7917,4881,2324,441,14678,190306,1046,27119,3541,3021,542,1918
Dendropsophus anataliasiasi,38340,105872,588,37342,5371,83056,95,8761,,309,607,11,5,3171,18940,1046,4356,,,,1
Dendropsophus araguaya,161,742,79,141,7,824,185,176,,6,13,,,1,84,,32,,,,
Dendropsophus cerradensis,44,80,97,22,3,404,,43,,6,1,,,10,6,,0,,,,
Dendropsophus cruzi,92682,210599,2666,44557,35376,218416,5062,37858,3,1911,1320,146,126,5408,62503,1046,11914,5,2,0,68
Dendropsophus elianeae,84404,78468,22086,14206,17391,261277,40933,88705,,5955,1409,363,285,9026,76826,,11808,3336,2992,303,14
Dendropsophus jimi,59491,45333,19526,12524,15789,187790,40126,73634,,5217,1076,324,149,7662,69001,,10706,3338,2994,298,9
Dendropsophus rhea,52,3,2,5,0,12,137,104,,23,1,,,4,66,,11,0,2,1,
Dendropsophus rubicundulus,100171,411499,13730,26725,85915,243883,12771,80993,168,4634,3464,2242,290,8681,99267,886,14651,3148,668,287,1578
Dendropsophus tritaeniatus,181,399,14,18,1,572,37,72,,64,3,,0,11,60,,29,,,,0
Drymoluber brazili,211933,486235,28635,57497,97737,433706,41393,124054,168,7439,4434,2317,416,13895,184326,1046,26138,3533,2962,511,1918
