,species,latitude,longitude
343,Alipiopsitta xanthops,-15.9167,-52.25
344,Alipiopsitta xanthops,-11.4005,-46.8834
345,Alipiopsitta xanthops,-13.5,-51.3833
346,Alipiopsitta xanthops,-19.4495,-54.9875
347,Alipiopsitta xanthops,-12.0833,-46.7667
348,Alipiopsitta xanthops,-19.1945,-46.2474
349,Alipiopsitta xanthops,-11.35,-43.8667
350,Alipiopsitta xanthops,-17.7985,-50.9284
351,Alipiopsitta xanthops,-18.9185,-54.8445
352,Alipiopsitta xanthops,-20.1795,-51.0024
353,Alipiopsitta xanthops,-19.8655,-47.4404
354,Alipiopsitta xanthops,-15.65,-53.9
355,Alipiopsitta xanthops,-20.0895,-50.9544
356,Alipiopsitta xanthops,-20.2115,-50.9264
357,Alipiopsitta xanthops,-17.8145,-50.5974
358,Alipiopsitta xanthops,-19.3095,-47.5254
359,Alipiopsitta xanthops,-10.4705,-50.5034
360,Alipiopsitta xanthops,-9.8333,-45.35
361,Alipiopsitta xanthops,-15.8665,-56.0775
362,Alipiopsitta xanthops,-15.85,-47.9333
363,Alipiopsitta xanthops,-12.3635,-44.9734
364,Alipiopsitta xanthops,-13.3985,-46.3184
365,Alipiopsitta xanthops,-11.6175,-50.6694
366,Alipiopsitta xanthops,-11.7,-50.7
367,Alipiopsitta xanthops,-19.3955,-54.5665
368,Alipiopsitta xanthops,-18.3385,-45.8334
369,Alipiopsitta xanthops,-20.6415,-46.5064
370,Alipiopsitta xanthops,-14.7,-47.5333
371,Alipiopsitta xanthops,-21.2685,-51.6665
372,Alipiopsitta xanthops,-11.0333,-45.5333
373,Alipiopsitta xanthops,-13.2755,-50.1634
374,Alipiopsitta xanthops,-5.0833,-48.4167
375,Alipiopsitta xanthops,-16.3667,-45.0667
376,Alipiopsitta xanthops,-20.2455,-46.3664
377,Alipiopsitta xanthops,-20.3675,-51.4194
378,Alipiopsitta xanthops,-15.65,-57.2167
379,Alipiopsitta xanthops,-10.2667,-48.3667
380,Alipiopsitta xanthops,-19.1115,-46.6904
381,Alipiopsitta xanthops,-15.6333,-47.8167
382,Alipiopsitta xanthops,-17.5775,-54.7585
383,Alipiopsitta xanthops,-12.4167,-46.4333
384,Alipiopsitta xanthops,-19.9225,-46.8234
385,Alipiopsitta xanthops,-20.4425,-54.8605
386,Alipiopsitta xanthops,-13.7765,-47.2654
387,Alipiopsitta xanthops,-16.1995,-52.5564
388,Alipiopsitta xanthops,-20.7833,-51.7
389,Alipiopsitta xanthops,-20.7515,-51.6785
390,Alipiopsitta xanthops,-18.2065,-45.2424
391,Alipiopsitta xanthops,-19.7485,-47.9324
392,Alipiopsitta xanthops,-18.9195,-48.2774
393,Alipiopsitta xanthops,-16.3585,-46.9064
394,Alipiopsitta xanthops,-16.0645,-46.2544
395,Alipiopsitta xanthops,-16.1335,-45.7424
396,Alipiopsitta xanthops,-14.8667,-55.7833
397,Alipiopsitta xanthops,-17.5833,-44.7167
398,Alipiopsitta xanthops,-17.9875,-46.9084
399,Alipiopsitta xanthops,-6.7333,-43.75
400,Alipiopsitta xanthops,-16.7425,-48.5164
401,Alipiopsitta xanthops,-13.0667,-64.8167
402,Allobates brunneus,-15.1355,-55.5182
403,Allobates brunneus,-15.2728,-55.5803
404,Allobates brunneus,-15.2419,-55.4919
405,Allobates brunneus,-15.2667,-55.5311
406,Allobates brunneus,-14.9458,-55.7425
