species,taxa,family,genus,species_author,binomial,author,range.cat,areaClass,year,time.slice,latitude,longitude,obs.source,New,Reference,IUCN
Siagonodon acutirostris,Snakes,Leptotyphlopidae,Siagonodon,"Siagonodon acutirostris Pinto & Curcio, 2011",Siagonodon acutirostris,"Pinto & Curcio, 2011",Restricted,buffer,2011,2000-2021,-11.5736,-47.1703,Atlas,n,Azevedo et al 2016,-
Simophis rhinostoma,Snakes,Colubridae,Simophis,"Simophis rhinostoma (Schlegel, 1837)",Simophis rhinostoma,"(Schlegel, 1837)",Partial,polygon,1837,1700-1899,NA,NA,Atlas,n,Azevedo et al 2016,LC
Sporophila nigrorufa,Aves,Thraupidae,Sporophila,"Sporophila nigrorufa (d'Orbigny & Lafresnaye, 1837)",Sporophila nigrorufa,"(d'Orbigny & Lafresnaye, 1837)",Partial,polygon,1837,1700-1899,NA,NA,,s,Gwynne et al 2010; WikiAves,VU
Stenocercus albolineatus,Lizards,Tropiduridae,Stenocercus,"Stenocercus albolineatus* Teixeira et al., 2016",Stenocercus albolineatus*,"Teixeira et al., 2016",Restricted,polygon,2015,2000-2021,-15.1167,-58.95,precise,s,"Teixeira et al., 2015",-
Stenocercus canastra,Lizards,Tropiduridae,Stenocercus,"Stenocercus canastra* Avila-Pires et al., 2019",Stenocercus canastra*,"Avila-Pires et al., 2019",Restricted,buffer,2019,2000-2021,-20.2439,-46.5489,precise,s,Ávila-Pires et al 2019,-
Stenocercus quinarius,Lizards,Tropiduridae,Stenocercus,"Stenocercus quinarius Nogueira & Rodrigues, 2006",Stenocercus quinarius,"Nogueira & Rodrigues, 2006",Restricted,polygon,2006,2000-2021,-15.2536,-45.8889,precise,n,Nogueira et al 2010; Azevedo et al 2016,LC
Stenocercus sinesaccus,Lizards,Tropiduridae,Stenocercus,"Stenocercus sinesaccus Torres-Carvajal, 2005",Stenocercus sinesaccus,"Torres-Carvajal, 2005",Partial,polygon,2005,2000-2021,-15.4333,-55.75,precise,n,Nogueira et al 2010; Azevedo et al 2016,LC
Synallaxis simoni,Aves,Furnariidae,Synallaxis,"Synallaxis simoni Hellmayr, 1907",Synallaxis simoni,"Hellmayr, 1907",Partial,polygon,1907,1900-1999,NA,NA,,s,Silva 1997; Silva e Bates 2002; Gwynne et al 2010,LC
Syndactyla dimidiata,Aves,Furnariidae,Syndactyla,"Syndactyla dimidiata (Pelzeln, 1859)",Syndactyla dimidiata,"(Pelzeln, 1859)",Partial,polygon,1859,1700-1899,NA,NA,,s,Silva 1997; Silva e Bates 2002; Gwynne et al 2010,LC
Taoniscus nanus,Aves,Tinamidae,Taoniscus,"Taoniscus nanus (Temminck, 1815)",Taoniscus nanus,"(Temminck, 1815)",Partial,polygon,1815,1700-1899,NA,NA,,s,Silva 1995; Silva 1997; Silva e Bates 2002; Gwynne et al 2010,EN
Thalpomys cerradensis,Mammals,Cricetidae,Thalpomys,"Thalpomys cerradensis Hershkovitz, 1990",Thalpomys cerradensis,"Hershkovitz, 1990",Partial,polygon,1990,1900-1999,-15.6667,-48,APC,s,Carmignotto et al 2012; Gutiérrez e Marinho-Filho 2017,LC
Thalpomys lasiotis,Mammals,Cricetidae,Thalpomys,"Thalpomys lasiotis Thomas, 1916",Thalpomys lasiotis,"Thomas, 1916",Partial,polygon,1916,1900-1999,-19.6272,-43.8897,APC,s,Carmignotto et al 2012; Gutiérrez e Marinho-Filho 2017,LC
Thamnodynastes rutilus,Snakes,Dipsadidae,Thamnodynastes,"Thamnodynastes rutilus (Prado, 1942)",Thamnodynastes rutilus,"(Prado, 1942)",Partial,polygon,1942,1900-1999,-22.2914,-49.5528,Atlas,n,Nogueira et al 2019,-
Thoropa megatympanum,Amphibians,Cycloramphidae,Thoropa,"Thoropa megatympanum Caramaschi & Sazima, 1984",Thoropa megatympanum,"Caramaschi & Sazima, 1984",Restricted,polygon,1984,1900-1999,-19.4405,-43.7183,associated,n,Valdujo et al 2012; Azevedo et al 2016,LC
Thrichomys apereoides,Mammals,Echimyidae,Thrichomys,"Thrichomys apereoides (Lund, 1839)",Thrichomys apereoides,"(Lund, 1839)",Partial,polygon,1839,1700-1899,-19.6272,-43.8897,APC,s,Carmignotto et al 2012; Gutiérrez e Marinho-Filho 2017,LC
Thrichomys pachyurus,Mammals,Echimyidae,Thrichomys,"Thrichomys pachyurus (Wagner, 1845)",Thrichomys pachyurus,"(Wagner, 1845)",Partial,polygon,1845,1700-1899,-15.6,-56.1,APC,s,Patton et al. 2015,LC
Thylamys velutinus,Mammals,Didelphidae,Thylamys,"Thylamys velutinus (Wagner, 1842)",Thylamys velutinus,"(Wagner, 1842)",Partial,polygon,1842,1700-1899,-22.4167,-47.6167,APC,s,Carmignotto et al 2012; Gutiérrez e Marinho-Filho 2017,NT
Trachycephalus mambaiensis,Amphibians,Hylidae,Trachycephalus,"Trachycephalus mambaiensis Cintra et al., 2009",Trachycephalus mambaiensis,"Cintra et al., 2009",Partial,polygon,2009,2000-2021,-14.29,-46.1936,precise,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,LC
Trilepida brasiliensis,Snakes,Leptotyphlopidae,Trilepida,"Trilepida brasiliensis (Laurent, 1949)",Trilepida brasiliensis,"(Laurent, 1949)",Wide,polygon,1949,1900-1999,-12.1528,-44.99,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Trilepida fuliginosa,Snakes,Leptotyphlopidae,Trilepida,"Trilepida fuliginosa (Passos et al., 2006)",Trilepida fuliginosa,"(Passos et al., 2006)",Partial,polygon,2006,2000-2021,-16.2013,-46.3211,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Trilepida jani,Snakes,Leptotyphlopidae,Trilepida,"Trilepida jani (Pinto & Fernandes, 2012)",Trilepida jani,"(Pinto & Fernandes, 2012)",Restricted,polygon,2012,2000-2021,-19.9208,-43.9378,Atlas,n,Azevedo et al 2016,LC
Trilepida koppesi,Snakes,Leptotyphlopidae,Trilepida,"Trilepida koppesi (Amaral, 1955)",Trilepida koppesi,"(Amaral, 1955)",Partial,polygon,1955,1900-1999,-20.4422,-54.8603,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Trinomys moojeni,Mammals,Echimyidae,Trinomys,"Trinomys moojeni (Pessôa et al., 1992)",Trinomys moojeni,"(Pessôa et al., 1992)",Restricted,polygon,1992,1900-1999,-19.0167,-43.4167,APC,s,,EN
Tropidophis preciosus,Snakes,Tropidophiidae,Tropidophis,"Tropidophis preciosus Curcio et al., 2012",Tropidophis preciosus,"Curcio et al., 2012",Restricted,buffer,2012,2000-2021,-18.2833,-43.9833,Atlas,n,Azevedo et al 2016,DD
Tropidurus callathelys,Lizards,Tropiduridae,Tropidurus,"Tropidurus callathelys Harvey & Gutberlet, 1998",Tropidurus callathelys,"Harvey & Gutberlet, 1998",Restricted,OUT,1998,1900-1999,-13.6,-60.9,precise,n,Nogueira et al 2010; Azevedo et al 2016,LC
Tropidurus chromatops,Lizards,Tropiduridae,Tropidurus,"Tropidurus chromatops Harvey & Gutberlet, 1998",Tropidurus chromatops,"Harvey & Gutberlet, 1998",Restricted,OUT,1998,1900-1999,-13.6,-60.9,precise,n,Nogueira et al 2010; Azevedo et al 2016,LC
Tropidurus itambere,Lizards,Tropiduridae,Tropidurus,"Tropidurus itambere Rodrigues, 1987",Tropidurus itambere,"Rodrigues, 1987",Partial,polygon,1987,1900-1999,-23.5017,-47.4581,precise,n,Nogueira et al 2010; Azevedo et al 2016,LC
Tropidurus montanus,Lizards,Tropiduridae,Tropidurus,"Tropidurus montanus Rodrigues, 1987",Tropidurus montanus,"Rodrigues, 1987",Partial,polygon,1987,1900-1999,-19.2946,-43.5944,precise,n,Nogueira et al 2010; Azevedo et al 2016,LC
Tropidurus oreadicus,Lizards,Tropiduridae,Tropidurus,"﻿Tropidurus oreadicus Rodrigues, 1987",Tropidurus oreadicus,"Rodrigues, 1987",Partial,polygon,1987,1900-1999,-15.6178,-46.4233,precise,n,Nogueira et al 2010,LC
Tupinambis matipu,Lizards,Teiidae,Tupinambis,"Tupinambis matipu* Silva et al., 2018",Tupinambis matipu*,"Silva et al., 2018",Partial,polygon,2018,2000-2021,-13.0596,-52.3813,precise,s,"Silva et al., 2018",-
Tupinambis quadrilineatus,Lizards,Teiidae,Tupinambis,"Tupinambis quadrilineatus Manzani & Abe, 1997",Tupinambis quadrilineatus,"Manzani & Abe, 1997",Partial,polygon,1997,1900-1999,-16.2167,-51.4167,precise,n,Nogueira et al 2010; Azevedo et al 2016,LC
Uropelia campestris,Aves,Columbidae,Uropelia,"Uropelia campestris (Spix, 1825)",Uropelia campestris,"(Spix, 1825)",Wide,polygon,1825,1700-1899,NA,NA,,s,Gwynne et al 2010,LC
Vanzosaura savanicola,Lizards,Gymnophthalmidae,Vanzosaura,"Vanzosaura savanicola* Recoder et al., 2014",Vanzosaura savanicola*,"Recoder et al., 2014",Partial,polygon,2014,2000-2021,-11.2333,-46.9167,precise,s,Recoder et al 2014,LC
Xenodon matogrossensis,Snakes,Dipsadidae,Xenodon,"Xenodon matogrossensis (Scrocchi & Cruz, 1993)",Xenodon matogrossensis,"(Scrocchi & Cruz, 1993)",Partial,polygon,1993,1900-1999,-20.2406,-56.3783,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Xenodon nattereri,Snakes,Dipsadidae,Xenodon,"Xenodon nattereri (Steindachner, 1867)",Xenodon nattereri,"(Steindachner, 1867)",Wide,polygon,1867,1700-1899,NA,NA,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
