species,taxa,family,genus,species_author,binomial,author,range.cat,areaClass,year,time.slice,latitude,longitude,obs.source,New,Reference,IUCN
Arremon flavirostris,Aves,Passerellidae,Arremon,"Arremon flavirostris Swainson, 1838",Arremon flavirostris,"Swainson, 1838",Partial,polygon,1838,1700-1899,NA,NA,,s,Gwynne et al 2010,LC
Asthenes luizae,Aves,Furnariidae,Asthenes,"Asthenes luizae Vielliard, 1990",Asthenes luizae,"Vielliard, 1990",Restricted,polygon,1990,1900-1999,-19.28333333,-43.56666667,precise,s,"Silva 1995; Silva 1997; Silva e Bates 2002, Gwynne et al 2010",NT
Atractus albuquerquei,Snakes,Dipsadidae,Atractus,"Atractus albuquerquei Cunha & Nascimento, 1983",Atractus albuquerquei,"Cunha & Nascimento, 1983",Partial,polygon,1983,1900-1999,-2.4189,-48.1522,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Atractus edioi,Snakes,Dipsadidae,Atractus,"Atractus edioi Silva Jr. et al., 2005",Atractus edioi,"Silva Jr. et al., 2005",Restricted,buffer,2005,2000-2021,-13.5333,-48.2417,Atlas,n,Nogueira et al 2010,DD
Atractus pantostictus,Snakes,Dipsadidae,Atractus,"Atractus pantostictus* Fernandes and Puorto, 1993",Atractus pantostictus*,"Fernandes and Puorto, 1993",Partial,polygon,1993,1900-1999,-23.3217,-46.7269,Atlas,s,Nogueira et al 2019,LC
Atractus spinalis,Snakes,Dipsadidae,Atractus,"Atractus spinalis Passos et al., 2013",Atractus spinalis,"Passos et al., 2013",Restricted,buffer,2013,2000-2021,-19.2469,-43.5097,Atlas,n,Azevedo et al 2016,DD
Atractus stygius,Snakes,Dipsadidae,Atractus,"Atractus stygius* Passos et al., 2019",Atractus stygius*,"Passos et al., 2019",Partial,polygon,2019,2000-2021,-12.4972,-57.875,Atlas,s,Nogueira et al 2019,-
Augastes scutatus,Aves,Trochilidae,Augastes,"Augastes scutatus (Temminck, 1824)",Augastes scutatus,"(Temminck, 1824)",Restricted,polygon,1824,1700-1899,NA,NA,,s,Silva 1995; Silva 1997; Silva e Bates 2002,LC
Bachia bresslaui,Lizards,Gymnophthalmidae,Bachia,"Bachia bresslaui (Amaral, 1935)",Bachia bresslaui,"(Amaral, 1935)",Partial,polygon,1935,1900-1999,NA,NA,NA,n,Nogueira et al 2010; Azevedo et al 2016,VU
Bachia cacerensis,Lizards,Gymnophthalmidae,Bachia,"Bachia cacerensis Castrillon & Strüssmann, 1998",Bachia cacerensis,"Castrillon & Strüssmann, 1998",Restricted,buffer,1998,1900-1999,-16.3863,-57.917,precise,n,Nogueira et al 2010; Azevedo et al 2016,DD
Bachia didactyla,Lizards,Gymnophthalmidae,Bachia,"Bachia didactyla Freitas et al., 2011",Bachia didactyla,"Freitas et al., 2011",Restricted,polygon,2011,2000-2021,-13.5329,-58.7996,precise,n,Azevedo et al 2016,EN
Bachia geralista,Lizards,Gymnophthalmidae,Bachia,"Bachia geralista Teixeira et al., 2012",Bachia geralista,"Teixeira et al., 2012",Restricted,polygon,2012,2000-2021,-15.15,-44.3,precise,n,Azevedo et al 2016,DD
Bachia micromela,Lizards,Gymnophthalmidae,Bachia,"Bachia micromela Rodrigues et al., 2007",Bachia micromela,"Rodrigues et al., 2007",Restricted,buffer,2007,2000-2021,-8.6333,-48.4167,precise,n,Nogueira et al 2010; Azevedo et al 2016,DD
Bachia oxyrhina,Lizards,Gymnophthalmidae,Bachia,"Bachia oxyrhina Rodrigues et al., 2008",Bachia oxyrhina,"Rodrigues et al., 2008",Restricted,polygon,2008,2000-2021,-10.8661,-46.8192,precise,n,Nogueira et al 2010; Azevedo et al 2016,LC
Bachia psamophila,Lizards,Gymnophthalmidae,Bachia,"Bachia psamophila Rodrigues et al., 2007",Bachia psamophila,"Rodrigues et al., 2007",Restricted,buffer,2007,2000-2021,-10.0333,-48.3833,precise,n,Nogueira et al 2010; Azevedo et al 2016,CR
