Taxa,Family,Genus,Species,Voucher,Series,Locality,Municipality,State,Country,Latitude,Longitude,elevation
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Vargem Comprida,MG,Brazil,-19.2,-43.95,785
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Vila Vitoriana, Botucatu",SP,Brazil,-22.7833,-48.4,542
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,7 Km E Ixianas,La Paz,,Bolivia,-13.7667,-68.05,336
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Cerro Amambay, 40 Km WSW of Capita_ Bado",,Paraguay,-23.35,-55.9167,287
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,"San Rafael national Park, San Pedro Mi",Takuapi,,Paraguay,-26.4167,-55.6667,195
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Parque Nacional Serrania San Luis,Concepción,Paraguay,-22.6667,-57.35,200
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Zanja Moroti, Rio Apa",Concepción,Paraguay,-22.5,-57,247
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,Parque Nacional Mburucuya,,Corrientes,Argentina,-28,-58.0833,56
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,,Corrientes,Argentina,-27.4667,-58.8333,52
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"10 km SW San Borja, road to Yacuma",El Beni,Bolivia,-14.8833,-66.85,272
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,20 – 30 km E of San Borja,El Beni,Bolivia,-14.75,-66.5,219
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Estación Biológica El Beni ( Laguna Normandía),El Beni,Bolivia,-14.8667,-66.3167,229
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Provincia Moxos,El Beni,Bolivia,-15.1667,-65.5,252
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,15 Km E of Rosario,San Pedro,Paraguay,-24.45,-56.9833,119
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Establecimiento Laguna Blanca, San Pedro, Paraguay",San Pedro,Paraguay,-23.8167,-56.3,212
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Nueva Germania,San Pedro,Paraguay,-23.9,-56.5667,95
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Guarayos,Santa Cruz,Bolivia,-17.5833,-61.7667,270
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,20 Km N of São João da Aliança,GO,Brazil,-14.5333,-47.4333,1009
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,WikiAves,,,Abadiânia,GO,Brazil,-16.2045,-48.7074,920
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Abadiânia/GO,GO,Brazil,-16.2045,-48.7074,920
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,WikiAves,,,Abreulândia,TO,Brazil,-9.6215,-49.1514,255
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Abreulândia/TO,TO,Brazil,-9.6215,-49.1514,255
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,WikiAves,,,Água Clara,MS,Brazil,-20.4485,-52.8784,305
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Água Clara/MS,MS,Brazil,-20.4485,-52.8784,305
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,WikiAves,,,Água Fria de Goiás,GO,Brazil,-14.9865,-47.7844,1140
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Água Fria de Goiás/GO,GO,Brazil,-14.9865,-47.7844,1140
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,WikiAves,,,Alexânia,GO,Brazil,-16.0825,-48.5074,933
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,WikiAves,,,Alto Araguaia,MT,Brazil,-17.3155,-53.2155,629
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Alto Araguaia/MT,MT,Brazil,-17.3155,-53.2155,629
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,WikiAves,,,Alto Paraíso de Goiás,GO,Brazil,-14.1335,-47.5104,1156
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Alto Paraíso de Goiás/GO,GO,Brazil,-14.1335,-47.5104,1156
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,WikiAves,,,Alto Parnaíba,MA,Brazil,-9.1115,-45.9304,277
Aves,Psittacidae,Alipiopsitta,Alipiopsitta xanthops,WikiAves,,,Álvares Florence,SP,Brazil,-20.3215,-49.9114,458
