binomial*,species,year,New,areaClass
Proceratophrys cururu,Proceratophrys cururu,1998,n,polygon
Proceratophrys dibernardoi,Proceratophrys dibernardoi,2013,n,polygon
Proceratophrys goyana,Proceratophrys goyana,1937,n,polygon
Proceratophrys huntingtoni,Proceratophrys huntingtoni,2012,n,buffer
Proceratophrys moratoi,Proceratophrys moratoi,1980,n,polygon
Proceratophrys rotundipalpebra,Proceratophrys rotundipalpebra,2013,n,polygon
Proceratophrys salvatori,Proceratophrys salvatori,1996,n,polygon
Proceratophrys strussmannae,Proceratophrys strussmannae,2011,n,polygon
Proceratophrys vielliardi,Proceratophrys vielliardi,2011,n,polygon
Pseudis tocantins,Pseudis tocantins,1998,n,polygon
Pseudopaludicola atragula*,Pseudopaludicola atragula,2014,s,polygon
Pseudopaludicola coracoralinae*,Pseudopaludicola coracoralinae,2020,s,buffer
Pseudopaludicola facureae*,Pseudopaludicola facureae,2013,s,polygon
Pseudopaludicola ibisoroca*,Pseudopaludicola ibisoroca,2016,s,buffer
Pseudopaludicola jazmynmcdonaldae*,Pseudopaludicola jazmynmcdonaldae,2019,s,buffer
Pseudopaludicola mineira*,Pseudopaludicola mineira,1994,s,buffer
Pseudopaludicola ternetzi*,Pseudopaludicola ternetzi,1937,s,polygon
Psilops seductus*,Psilops seductus,2017,s,buffer
Pyrrhura pfrimeri,Pyrrhura pfrimeri,1920,s,polygon
Rhachidelus brazili,Rhachidelus brazili,1908,n,polygon
Rhachisaurus brachylepis,Rhachisaurus brachylepis,1974,n,polygon
Rhinella cerradensis,Rhinella cerradensis,2007,n,polygon
Rhinella inopina,Rhinella inopina,2012,n,polygon
Rhinella ocellata,Rhinella ocellata,1858,n,polygon
Rhinella rubescens,Rhinella rubescens,1925,n,polygon
Rhinella scitula,Rhinella scitula,2003,n,polygon
Rhinella sebbeni*,Rhinella sebbeni,2015,s,polygon
Rhinella veredas,Rhinella veredas,2007,n,polygon
Rhipidomys ipukensis,Rhipidomys ipukensis,2011,s,polygon
Rhipidomys macrurus,Rhipidomys macrurus,1855,s,polygon
Saltatricula atricollis,Saltatricula atricollis,1817,s,polygon
Salvator duseni,Salvator duseni,1910,n,polygon
Scinax cabralensis,Scinax cabralensis,2007,n,buffer
Scinax constrictus,Scinax constrictus,2005,n,polygon
Scinax curicica,Scinax curicica,2004,n,polygon
