assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
130388463,22705300,Hylophilus brunneiceps,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VIREONIDAE,Hylophilus,brunneiceps,,,,"Sclater, 1866",LC,,3.1,Stable,Global
130388750,22705303,Pachysylvia hypoxantha,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VIREONIDAE,Pachysylvia,hypoxantha,,,,"(Pelzeln, 1868)",LC,,3.1,Decreasing,Global
130617765,22722293,Nemosia rourei,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THRAUPIDAE,Nemosia,rourei,,,,"Cabanis, 1870",CR,C2a(ii); D,3.1,Decreasing,Global
130676616,103657434,Formicivora paludicola,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Formicivora,paludicola,,,,"Buzzetti et al., 2013",CR,B2ab(iii),3.1,Unknown,Global
130774493,22728410,Antilophia bokermanni,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Antilophia,bokermanni,,,,"Coelho & Silva, 1998",CR,C2a(ii),3.1,Decreasing,Global
131106939,22678246,Nothoprocta taczanowskii,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,TINAMIDAE,Nothoprocta,taczanowskii,,,,"Sclater & Salvin, 1875",VU,C2a(i),3.1,Decreasing,Global
131278894,22682129,Ramphastos dicolorus,ANIMALIA,CHORDATA,PICIFORMES,AVES,RAMPHASTIDAE,Ramphastos,dicolorus,,,,"Linnaeus, 1766",LC,,3.1,Decreasing,Global
131286087,22678280,Nothura minor,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,TINAMIDAE,Nothura,minor,,,,"(Spix, 1825)",VU,C2a(i),3.1,Decreasing,Global
131290691,22701272,Biatas nigropectus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Biatas,nigropectus,,,,"(Lafresnaye, 1850)",VU,C2a(i)b,3.1,Decreasing,Global
131318445,22701974,Geositta poeciloptera,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Geositta,poeciloptera,,,,"(Wied, 1830)",VU,A2c+3c+4c,3.1,Decreasing,Global
131322723,22699644,Platyrinchus leucoryphus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TYRANNIDAE,Platyrinchus,leucoryphus,,,,"Wied, 1831",VU,C2a(i),3.1,Decreasing,Global
131326693,22699659,Onychorhynchus swainsoni,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TITYRIDAE,Onychorhynchus,swainsoni,,,,"(Pelzeln, 1858)",VU,C2a(i); D1,3.1,Decreasing,Global
131330745,22731646,Celeus obrieni,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Celeus,obrieni,,,,"Short, 1973",VU,C2a(ii),3.1,Decreasing,Global
